Allo maman bobo;Alain Souchon;Défoule Sentimentale
Arlette;Alain Souchon;Défoule Sentimentale
Bidon;Alain Souchon;Défoule Sentimentale
C'est déjà ça;Alain Souchon;Défoule Sentimentale
Chanter c'est lancer des balle;Alain Souchon;Défoule Sentimentale
Courrier;Alain Souchon;Défoule Sentimentale
Foule sentimentale;Alain Souchon;Défoule Sentimentale
Frenchy bébé blues;Alain Souchon;Défoule Sentimentale
Jamais content;Alain Souchon;Défoule Sentimentale
La ballade de jim;Alain Souchon;Défoule Sentimentale
L'amour à la machine;Alain Souchon;Défoule Sentimentale
Le bagdad de lann bihouë;Alain Souchon;Défoule Sentimentale
Le fil;Alain Souchon;Défoule Sentimentale
Le fils pape;Alain Souchon;Défoule Sentimentale
Les bergères;Alain Souchon;Défoule Sentimentale
Les cadors;Alain Souchon;Défoule Sentimentale
Les écureuils;Alain Souchon;Défoule Sentimentale
Les filles électriques;Alain Souchon;Défoule Sentimentale
Les regrets;Alain Souchon;Défoule Sentimentale
Lettre aux dames;Alain Souchon;Défoule Sentimentale
Manivelle;Alain Souchon;Défoule Sentimentale
Medley (J'ai dix ans - Poulail;Alain Souchon;Défoule Sentimentale
On s'aime pas;Alain Souchon;Défoule Sentimentale
Quand je serai KO;Alain Souchon;Défoule Sentimentale
Rame;Alain Souchon;Défoule Sentimentale
Sans queue ni tête;Alain Souchon;Défoule Sentimentale
Somerset maugham;Alain Souchon;Défoule Sentimentale
Sous les jupes des filles;Alain Souchon;Défoule Sentimentale
Ultra moderne solitude;Alain Souchon;Défoule Sentimentale
Etude n°12, op. 8;Alexandre Scriabine;
Etude n°2, op. 8;Alexandre Scriabine;
Etude n°5, op. 8;Alexandre Scriabine;
Mazurka n°1, op. 3;Alexandre Scriabine;
Mazurka n°2, op. 3;Alexandre Scriabine;
Poème n°1, op. 32;Alexandre Scriabine;
Poème n°2, op. 32;Alexandre Scriabine;
Extreme dream;Angra;Fireworks
Fireworks;Angra;Fireworks
Genile change;Angra;Fireworks
Lisbon;Angra;Fireworks
Metal Icarus;Angra;Fireworks
Mystery machine;Angra;Fireworks
Paradise;Angra;Fireworks
Petrified eyes;Angra;Fireworks
Speed;Angra;Fireworks
Wings of reality;Angra;Fireworks
Carolina IV;Angra;Holy Land
Crossing;Angra;Holy Land
Deep blue;Angra;Holy Land
Holy land;Angra;Holy Land
Lullaby for lucifer;Angra;Holy Land
Make believe;Angra;Holy Land
Nothing to say;Angra;Holy Land
Silence and distance;Angra;Holy Land
The shaman;Angra;Holy Land
Zito;Angra;Holy Land
Carolina IV;Angra;Holy Live
Carolina IV;Angra;Holy Live
Carry on;Angra;Holy Live
Crossing;Angra;Holy Live
Nothing to say;Angra;Holy Live
Unfinished allegro;Angra;Holy Live
Zito;Angra;Holy Live
Adagio - Allegro;Anton Bruckner;Symphony No 5 in si bémol maje
Adagio;Anton Bruckner;Symphony No 5 in si bémol maje
Scherzo - Molto vivace;Anton Bruckner;Symphony No 5 in si bémol maje
Finale - Adagio - Allegro mode;Anton Bruckner;Symphony No 5 in si bémol maje
Domination;Apocalyptica;Inquisiton Symphony
Fade to black;Apocalyptica;Inquisiton Symphony
For whom the bell tolls;Apocalyptica;Inquisiton Symphony
From out of nowhere;Apocalyptica;Inquisiton Symphony
Harmageddon;Apocalyptica;Inquisiton Symphony
Inquisition symphony;Apocalyptica;Inquisiton Symphony
MB;Apocalyptica;Inquisiton Symphony
Nothing else matters;Apocalyptica;Inquisiton Symphony
One;Apocalyptica;Inquisiton Symphony
Resure - Resist;Apocalyptica;Inquisiton Symphony
Toreator;Apocalyptica;Inquisiton Symphony
Creeping death;Apocalyptica;Plays Metallica by four cellos
